timestamp, latitude, longitude 
1545373079,-50.5529,-123.5294
1545373089,-50.6861,-122.5718
1545373099,-50.8106,-121.6087
1545373109,-50.9265,-120.6405
1545373119,-51.0336,-119.6675
1545373129,-51.1318,-118.6899
1545373139,-51.2212,-117.7083
1545373149,-51.3015,-116.7228
1545373159,-51.3728,-115.7340
1545373169,-51.4351,-114.7423
1545373179,-51.4882,-113.7478
1545373189,-51.5322,-112.7512
1545373199,-51.5669,-111.7529
1545373209,-51.5925,-110.7532
1545373219,-51.6088,-109.7524
1545373229,-51.6159,-108.7510
1545373239,-51.6137,-107.7496
1545373249,-51.6030,-106.7986
1545373259,-51.5828,-105.7983
1545373269,-51.5533,-104.7992
1545373279,-51.5146,-103.8016
1545373289,-51.4668,-102.8058
1545373299,-51.4098,-101.8125
1545373309,-51.3437,-100.8219
1545373319,-51.2685,-99.8347
1545373329,-51.1844,-98.8510
1545373339,-51.0912,-97.8712
1545373349,-50.9893,-96.8959
1545373359,-50.8785,-95.9251
1545373369,-50.7590,-94.9594
1545373379,-50.6309,-93.9990
1545373389,-50.4941,-93.0441
1545373399,-50.3489,-92.0951
1545373409,-50.1954,-91.1524
1545373419,-50.0335,-90.2163
1545373429,-49.8635,-89.2869
1545373439,-49.6855,-88.3646
1545373449,-49.4995,-87.4493
1545373460,-49.3056,-86.5415
1545373470,-49.1040,-85.6414
1545373480,-48.8948,-84.7490
1545373490,-48.6781,-83.8645
1545373500,-48.4541,-82.9881
1545373509,-48.2292,-82.1436
1545373519,-47.9899,-81.2797
1545373529,-47.7443,-80.4271
1545373539,-47.4921,-79.5838
1545373550,-47.2332,-78.7493
1545373560,-46.9677,-77.9234
1545373570,-46.6956,-77.1061
1545373580,-46.4172,-76.2976
1545373590,-46.1325,-75.4978
1545373600,-45.8417,-74.7068
1545373610,-45.5450,-73.9245
1545373619,-45.2576,-73.1894
1545373629,-44.9494,-72.4241
1545373639,-44.6357,-71.6677
1545373649,-44.3164,-70.9198
1545373659,-43.9917,-70.1805
1545373669,-43.6618,-69.4498
1545373679,-43.3267,-68.7276
1545373689,-42.9866,-68.0138
1545373699,-42.6415,-67.3085
1545373709,-42.2916,-66.6114
1545373719,-41.9370,-65.9225
1545373729,-41.5779,-65.2418
1545373739,-41.2142,-64.5692
1545373749,-40.8461,-63.9043
